"demo","route","M","K","N","latency_ms","fp16_ms","naive_int4_ms","triton_int4_ms","speedup_c_vs_b","time_ratio_c_over_a","max_abs_error","mean_abs_error","relative_l2_error","cosine_similarity","packed_w_mem_mb","w_dequant_mem_mb","source_file"
"demo1","A_FP16_Linear","1","1024","1024","0.017315839529037477","0.017315839529037477","","","","1","0","0","0","1","","","demo1_route_a_results.csv"
"demo1","A_FP16_Linear","8","1024","1024","0.013188799619674682","0.013188799619674682","","","","1","0","0","0","1","","","demo1_route_a_results.csv"
"demo1","A_FP16_Linear","16","1024","1024","0.01412992000579834","0.01412992000579834","","","","1","0","0","0","1","","","demo1_route_a_results.csv"
"demo1","A_FP16_Linear","1","2048","2048","0.05966623783111572","0.05966623783111572","","","","1","0","0","0","1","","","demo1_route_a_results.csv"
"demo1","A_FP16_Linear","8","2048","2048","0.06688767910003662","0.06688767910003662","","","","1","0","0","0","1","","","demo1_route_a_results.csv"
"demo1","A_FP16_Linear","16","2048","2048","0.0648089599609375","0.0648089599609375","","","","1","0","0","0","1","","","demo1_route_a_results.csv"
"demo1","A_FP16_Linear","1","4096","4096","0.1408512020111084","0.1408512020111084","","","","1","0","0","0","1","","","demo1_route_a_results.csv"
"demo1","A_FP16_Linear","8","4096","4096","0.21988351821899413","0.21988351821899413","","","","1","0","0","0","1","","","demo1_route_a_results.csv"
"demo1","B_PyTorch_Naive_INT4","1","1024","1024","0.19744512557983399","0.016814080476760866","0.19744512557983399","","","","21.40625","4.80772590637207","0.2005726397037506","0.9807072281837463","0.5","2.0","demo1_route_b_results.csv"
"demo1","B_PyTorch_Naive_INT4","8","1024","1024","0.29155328750610354","0.016168960332870484","0.29155328750610354","","","","22.859375","5.007546424865723","0.19659122824668884","0.9813401103019714","0.5","2.0","demo1_route_b_results.csv"
"demo1","B_PyTorch_Naive_INT4","16","1024","1024","0.3619718551635742","0.033762240409851076","0.3619718551635742","","","","25.421875","5.0262274742126465","0.19650410115718842","0.9812766313552856","0.5","2.0","demo1_route_b_results.csv"
"demo1","B_PyTorch_Naive_INT4","1","2048","2048","0.5894947052001953","0.05271552085876465","0.5894947052001953","","","","40.0625","7.861146450042725","0.2187279909849167","0.9774163961410522","2.0","8.0","demo1_route_b_results.csv"
"demo1","B_PyTorch_Naive_INT4","8","2048","2048","0.5937152099609375","0.04946944236755371","0.5937152099609375","","","","40.0625","7.91651725769043","0.21918199956417084","0.9768937826156616","2.0","8.0","demo1_route_b_results.csv"
"demo1","B_PyTorch_Naive_INT4","16","2048","2048","0.6003097534179688","0.05735424041748047","0.6003097534179688","","","","40.0625","7.862936019897461","0.21891818940639496","0.9769423007965088","2.0","8.0","demo1_route_b_results.csv"
"demo1","B_PyTorch_Naive_INT4","1","4096","4096","2.1979750061035155","0.12604255676269532","2.1979750061035155","","","","47.5625","11.393321990966797","0.22669705748558044","0.9752689599990845","8.0","32.0","demo1_route_b_results.csv"
"demo1","B_PyTorch_Naive_INT4","8","4096","4096","2.2005349731445314","0.16101375579833985","2.2005349731445314","","","","59.9375","11.453564643859863","0.2258417010307312","0.9754056930541992","8.0","32.0","demo1_route_b_results.csv"
"demo1","C_Triton_Fused_INT4","1","1024","1024","0.024924159049987793","0.0173363196849823","0.17495040893554686","0.024924159049987793","7.019310404201282","1.4376845549046093","","","0.2005726397037506","0.9807072281837463","0.5","2.0","demo1_route_c_results.csv"
"demo1","C_Triton_Fused_INT4","8","1024","1024","0.026214399337768556","0.0157695996761322","0.17160192489624024","0.026214399337768556","6.5460941021449885","1.6623376544837023","","","0.19659122824668884","0.9813401103019714","0.5","2.0","demo1_route_c_results.csv"
"demo1","C_Triton_Fused_INT4","16","1024","1024","0.021432321071624755","0.014970879554748535","0.18488319396972655","0.021432321071624755","8.626372913687916","1.4316006613537111","","","0.19650410115718842","0.9812766313552856","0.5","2.0","demo1_route_c_results.csv"
"demo1","C_Triton_Fused_INT4","1","2048","2048","0.04417503833770752","0.05286911964416504","0.6204723358154297","0.04417503833770752","14.045767907931811","0.8355546420108199","","","0.21872955560684204","0.9774154424667358","2.0","8.0","demo1_route_c_results.csv"
"demo1","C_Triton_Fused_INT4","8","2048","2048","0.03765248060226441","0.05268479824066162","0.6021913528442383","0.03765248060226441","15.993404503819669","0.7146744765021152","","","0.2191801220178604","0.976894199848175","2.0","8.0","demo1_route_c_results.csv"
"demo1","C_Triton_Fused_INT4","16","2048","2048","0.033127360343933106","0.05104640007019043","0.5917472076416016","0.033127360343933106","17.862793820515595","0.6489656527861304","","","0.2189168930053711","0.9769425988197327","2.0","8.0","demo1_route_c_results.csv"
"demo1","C_Triton_Fused_INT4","1","4096","4096","0.08608768463134765","0.12210176467895507","2.1725286865234374","0.08608768463134765","25.236230894428548","0.7050486523081787","","","0.2266966700553894","0.9752684831619263","8.0","32.0","demo1_route_c_results.csv"
"demo1","C_Triton_Fused_INT4","8","4096","4096","0.08726528167724609","0.13970175743103028","2.197104644775391","0.08726528167724609","25.177305367574064","0.6246541438129604","","","0.2258417010307312","0.9754056930541992","8.0","32.0","demo1_route_c_results.csv"
