M,K,N,method,first_call_ms,steady_ms,fp16_ms,eager_naive_ms,speedup_vs_eager_naive,speedup_vs_fp16,relerr_vs_naive,cossim_vs_naive,packed_w_mb,w_fp16_mb
1,1024,1024,manual_triton_fused_int4,,0.02067456007003784,0.020480000972747804,0.18524160385131835,8.959881285202085,0.99058944438813,0.0,1.0,0.5,2.0
1,1024,1024,torch_compile_default,1597.8648000000248,0.0694867181777954,0.020480000972747804,0.18524160385131835,2.6658562774160863,0.29473259796707774,0.0,1.0,0.5,2.0
1,1024,1024,torch_compile_reduce-overhead,252.4519629999986,0.09582624435424805,0.020480000972747804,0.18524160385131835,1.9330988613779108,0.21372016727523882,0.0,1.0,0.5,2.0
8,1024,1024,manual_triton_fused_int4,,0.021473278999328615,0.03215359926223755,0.18712575912475585,8.71435420415329,1.4973772409534132,0.0,0.9999999403953552,0.5,2.0
8,1024,1024,torch_compile_default,154.09510500001034,0.12466208457946777,0.03215359926223755,0.18712575912475585,1.5010639342026215,0.25792605161949417,0.0,0.9999999403953552,0.5,2.0
8,1024,1024,torch_compile_reduce-overhead,246.70939700001782,0.1622835159301758,0.03215359926223755,0.18712575912475585,1.1530792764267488,0.19813225685886654,0.0,0.9999999403953552,0.5,2.0
1,2048,2048,manual_triton_fused_int4,,0.04370431900024414,0.05414912223815918,0.6225920104980469,14.24554883224628,1.2389878958612006,0.0003667623968794942,1.0,2.0,8.0
1,2048,2048,torch_compile_default,467.5795929999822,0.1093939208984375,0.05414912223815918,0.6225920104980469,5.691285268731414,0.49499205982781996,0.0,1.0,2.0,8.0
1,2048,2048,torch_compile_reduce-overhead,237.49181900006988,0.14401535987854003,0.05414912223815918,0.6225920104980469,4.323094502024852,0.37599546523251115,0.0,1.0,2.0,8.0
8,2048,2048,manual_triton_fused_int4,,0.031384639739990235,0.04876992225646973,0.5906022262573242,18.81819358610576,1.553942395404565,0.00032196581014432013,1.0,2.0,8.0
8,2048,2048,torch_compile_default,148.06030799991277,0.10574848175048829,0.04876992225646973,0.5906022262573242,5.584971211698717,0.4611879191943532,0.0,1.0,2.0,8.0
8,2048,2048,torch_compile_reduce-overhead,239.46427900000344,0.15157247543334962,0.04876992225646973,0.5906022262573242,3.896500499637399,0.3217597529962829,0.0,1.0,2.0,8.0
1,4096,4096,manual_triton_fused_int4,,0.08556384086608887,0.12322688102722168,2.1935206604003907,25.63607054331918,1.4401747254436263,0.0003243735118303448,1.0,8.0,32.0
1,4096,4096,torch_compile_default,450.78254099996684,0.2716569519042969,0.12322688102722168,2.1935206604003907,8.07459792589131,0.45361210218773923,0.0,1.000000238418579,8.0,32.0
1,4096,4096,torch_compile_reduce-overhead,246.23184500001116,0.338974723815918,0.12322688102722168,2.1935206604003907,6.471044907736524,0.36352822900783804,0.0,1.000000238418579,8.0,32.0
8,4096,4096,manual_triton_fused_int4,,0.09549504280090332,0.13913087844848632,2.208704376220703,23.12899509166784,1.4569434639508871,0.0,1.0,8.0,32.0
8,4096,4096,torch_compile_default,151.55850600001486,0.2883356857299805,0.13913087844848632,2.208704376220703,7.660183895132225,0.48253090177252317,0.0,1.0,8.0,32.0
8,4096,4096,torch_compile_reduce-overhead,239.99515399998472,0.35668991088867186,0.13913087844848632,2.208704376220703,6.1922255404360795,0.3900611545245279,0.0,1.0,8.0,32.0
